station_name,station_id,real_time,active?,owner,owner_2,maintainer,project,latitude,longitude,elevation_ft,transmit_time,mesowest_link,station_type,hydrologic,weather,coastal,experimental_plot,seismometer,satellite,precipitation,temperature,data_provider,dew_point,wind,visability,sky_conditions,sea_level_pressure,wave_swell_height,altimeter_reading,snow_amount,heated,seasonal,reliable_forcsting,precip_reliable,temp_reliable,wind_reliable,dewpoint_reliable,additional_information,web_link,contact_person,contact_email,device_specific_details
Mary Island,MRYA2,Yes,Active,Marine Exchange of Alaska,,,Unknown,55.099,-131.182,13,Unknown,Unknown,Weather Station,Unknown,Yes,No,No,No,No,Unknown,Yes,National Weather Service,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,No,No,https://www.weather.gov/wrh/timeseries?site=MRYA2&hours=72,Unknown,Unknown,Unknown
Chest Lake Weather Station,CMWA2,Yes,Active,Metlakatla Indian Community,Bureau of Indian Affairs,,Unknown,55.1192,-131.5315,860,Unknown,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=CMWA2&unit=0&time=LOCAL,Unknown,Yes,Yes,No,No,No,No,Yes,Yes,National Weather Service,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,"Temp, Precipitation 1hr in",Unknown,Unknown,Unknown,Unknown
Metlakatla,PAMM,Yes,Active,National Weather Service,Federal Aviation Administration,,The ASOS Monitoring Center (AOMC),55.131,-131.578,0,:16/36/56,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAMM&unit=0&time=LOCAL,Weather Station,Unknown,Yes,No,No,No,No,Unknown,Yes,National Weather Service,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,No,https://www.weather.gov/wrh/timeseries?site=PAMM&hours=72,Aaron Jacobs,aaron.jacobs@noaa.gov,Unknown
Minx Island Federal Aviation Administration,KTNBW,Yes,Active,Federal Aviation Administration,,,Unknown,55.14275,-131.2171,Unknown,Unknown,Unknown,Weather Station,Unknown,Yes,No,No,No,No,Unknown,Yes,National Weather Service,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,https://www.weather.gov/wrh/timeseries?site=KTNBW&hours=72,Unknown,Unknown,Unknown
"Lancaster Cove, Unit 5, ",414,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.16379,-132.14,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
"Lancaster Cove, Unit 7, ",412,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.17728,-132.1,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
"Lancaster Cove, Unit 2, Leave Island",413,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.17741,-132.115,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
"Lancaster Cove, Unit 2, ",411,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.17751,-132.115,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
"Lancaster Cove, Unit 9, ",409,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.18211,-132.07,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
"Lancaster Cove, Unit 1, ",410,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.18288,-132.104,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
"Lancaster Cove, Unit 6, ",408,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.18742,-132.072,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
"Lancaster Cove, Unit 8, ",406,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.19075,-132.089,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
"Lancaster Cove, Unit 3/Unit8, Leave Island",407,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.19084,-132.093,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
"Lancaster Cove, Unit 3, ",405,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.19427,-132.091,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
Hydaburg Airport,PAHY,Yes,Active,National Weather Service,Federal Aviation Administration,,The ASOS Monitoring Center (AOMC),55.2,-132.81,0,:16/36/56,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAHY&unit=0&time=LOCAL,Weather Station,Yes,Yes,No,No,No,No,Yes,Yes,National Weather Service,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,No,https://www.weather.gov/wrh/timeseries?site=PAHY&hours=72,Aaron Jacobs,aaron.jacobs@noaa.gov,Unknown
"Lancaster Cove, Unit 4, ",404,Unknown,Active,U.S. Forest Service,,,Alternatives to Clearcutting (ATC),55.20093,-132.079,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination PLGR GPS initial reference point and Criterion laser traverse
Reynolds Creek below Lake Mellen near Hydaburg,RCHA2,No,Inactive,Unknown,,,Unknown,55.2181,-132.5806,Unknown,Unknown,Unknown,Stream Gauge,Yes,No,No,No,No,No,Unknown,Unknown,National Weather Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown
Saxmon Seaport,SXXA2,Yes,Active,Marine Exchange of Alaska,,,Unknown,55.315,-131.596,Unknown,Unknown,Unknown,Weather Station,Unknown,Unknown,No,No,No,No,Unknown,Unknown,National Weather Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown
"Experiment 3 (25-35 years), POW Cave Creek E, ",444,Unknown,Active,U.S. Forest Service,,,Tongass-Wide Young Growth Study (TWYGS),55.32199,-132.751,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"StandID 621060516. Five, 1/5-acre permanent plots are installed in each treatment unit. The control & 1:2 pruning treatments each have 1 fenced & 1 unfenced deer exclosure.",Unknown,Kellen Nelson,kellen.nelson@usda.gov,"Original boundaries from field traverses by RD staff. Bndrys updated using differentially corrected GPS data & digitizing from 1997 TNF DOQQs, 2006 Census Bureau orthos, & Google Earth"
"Experiment 2 (15-25 years), POW Cave Creek W, ",445,Unknown,Active,U.S. Forest Service,,,Tongass-Wide Young Growth Study (TWYGS),55.32617,-132.782,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"StandID 624050515. Five, 1/5-acre permanent plots in each treatment. Control & 18x18 PCT each have 1 fenced & 1 unfenced deer exclosure.",Unknown,Kellen Nelson,kellen.nelson@usda.gov,"Original boundaries from field traverses by RD staff. Bndrys updated using differentially corrected GPS data & digitizing from 1997 TNF DOQQs, 2006 Census Bureau orthos, & Google Earth"
Ketchikan,V35KX,Yes,Active,USArray,,,Unknown,55.3279,-131.615,Unknown,Unknown,Unknown,Seismometer,No,No,No,No,Yes,No,Unknown,Unknown,National Weather Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown
Haida,HADA2,Yes,Active,U.S. Forest Service,,,Remote Automated Weather Station,55.33,-132.6675,671,:55,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=HADA2&unit=0&time=LOCAL,Weather Station,Yes,Yes,No,No,No,No,Yes,Yes,National Weather Service,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,https://www.weather.gov/wrh/timeseries?site=HADA2&hours=72,Unknown,Unknown,Unknown
Whitman Creek,WCGA2,Yes,Active,Ketchikan Public Utilities,,,Unknown,55.3312,-131.5198,170,Unknown,Unknown,Stream Gauge,Yes,No,No,No,No,No,Unknown,Unknown,National Weather Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown
Whitman Lake Dam,WLDA2,Yes,Active,Ketchikan Public Utilities,,,Unknown,55.3329,-131.532,385,Unknown,Unknown,Dam level,Yes,,No,No,No,No,Yes,Yes,National Weather Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,"Temp F, Precipitation 1hr in",https://water.noaa.gov/gauges/wlda2,Unknown,Unknown,Unknown
Ketchikan Tide Gauge,KECA2,Yes,Active,National Oceanic and Atmospheric Administration,National Ocean Service (NOS),,National Water Level Observation Network (NWLON),55.333,-131.625,0,:00,Unknown,Tide Gauge,Yes,No,Yes,No,No,No,Unknown,Yes,National Weather Service,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown
"Twelvemile, Azaelea, ",103,Unknown,Active,U.S. Forest Service,,,Watershed Restoration & Ecosystem Monitoring (WREM),55.33642,-132.696,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Site contains twelve, 40m x 5m silviculture strip plots plus 6 litter and insect traps. Alternate contact is Di Johnson, 586-8819 or David D'Amore, 586-7955.",Unknown,Rick Edwards,richard.t.edwards@usda.gov,Silviculture plot corner coord taken with Trimble ProXT & differentially corrected. Garmin GPS used for litter/insect traps. 100 ft buffer added around site.
"Cave Creek, Installation 60, Plot 2180",403,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),55.33786,-132.759,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location approximate,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination: drawn from field maps onto TNF DOQQs & used differentially corrected Trimble GPS pts.
"Cave Creek, Installation 60, Plot 2190",402,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),55.33838,-132.759,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location approximate,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination: drawn from field maps onto TNF DOQQs & used differentially corrected Trimble GPS pts.
"Cave Creek, Installation 60, Plot 2220",401,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),55.33864,-132.76,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location approximate,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination: drawn from field maps onto TNF DOQQs & used differentially corrected Trimble GPS pts.
"Cave Creek, Installation 60, Plot 2201",400,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),55.3389,-132.758,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location approximate,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination: drawn from field maps onto TNF DOQQs & used differentially corrected Trimble GPS pts.
"Cave Creek, Installation 60, Plot 2210",399,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),55.33916,-132.759,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location approximate,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Combination: drawn from field maps onto TNF DOQQs & used differentially corrected Trimble GPS pts.
Ketchikan Salmon Landing,SLXA2,Yes,Active,Marine Exchange of Alaska,,,Unknown,55.34,-131.644,20,Unknown,Unknown,Weather Station,Unknown,Yes,No,No,No,No,Unknown,Yes,National Weather Service,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown
"Twelvemile, Hanging, ",102,Unknown,Active,U.S. Forest Service,,,Watershed Restoration & Ecosystem Monitoring (WREM),55.34129,-132.722,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Site contains six, 40m x 5m silviculture strip plots plus 6 litter and insect traps. Alternate contact is Di Johnson, 586-8819 or David D'Amore, 586-7955.",Unknown,Rick Edwards,richard.t.edwards@usda.gov,Silviculture plot corner coord taken with Trimble ProXT & differentially corrected. Garmin GPS used for litter/insect traps. 100 ft buffer added around site.
"Lower Cave Creek, Installation 63, Plot 402",397,Unknown,Active,U.S. Forest Service,,,Pruning + PCT (Petruncio-JFSL),55.34143,-132.758,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"control unit. PDIOP high, location approximate.",Unknown,Kellen Nelson,kellen.nelson@usda.gov,Differentially corrected GPS point using Trimble ProXT and PFO. Collected 7/23/2012
"Lower Cave Creek, Installation 63, Plot 401",398,Unknown,Active,U.S. Forest Service,,,Pruning + PCT (Petruncio-JFSL),55.3415,-132.759,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PCT + pruned with 8' lift,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Differentially corrected GPS point using Trimble ProXT and PFO. Collected 7/23/2012
"Lower Cave Creek, Installation 63, Plot 403",396,Unknown,Active,U.S. Forest Service,,,Pruning + PCT (Petruncio-JFSL),55.34179,-132.758,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"PCT + pruned with 17' lift. PDIOP high, location approximate.",Unknown,Kellen Nelson,kellen.nelson@usda.gov,Differentially corrected GPS point using Trimble ProXT and PFO. Collected 7/23/2012
"Lower Cave Creek, Installation 63, Plot 404",395,Unknown,Active,U.S. Forest Service,,,Pruning + PCT (Petruncio-JFSL),55.3418,-132.757,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PCT + pruned with 12' lift,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Differentially corrected GPS point using Trimble ProXT and PFO. Collected 7/23/2012
Government Creek near Ketchikan,GOVA2,Yes,Active,U.S. Geological Survey,Alaska Department of Transportation,,Unknown,55.342778,-131.698889,50,Unknown,Unknown,Stream Gauge,Yes,No,No,No,No,No,Unknown,Unknown,National Weather Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown
Ketchikan Powerhouse,KPHA2,Yes,Active,Ketchikan Public Utilities,,,Unknown,55.343734,-131.632676,100,Unknown,Unknown,Stream Gauge,Yes,No,No,No,No,No,Yes,Unknown,National Weather Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown
