"Limited Access Document: To add information, please make comments. If you have questions about the document, please contact Ella Neumann at eneumann@sitkascience.org Document created using information provided by state and federal agencies, tribes, municipalities, and other organizations throughout Southeast Alaska.

GIS files, .csv files, and other information available on the SSSC Github Page: https://github.com/Sitka-Sound-Science-Center/southeast_monitoring_locations ",,,,NWS Fields,,,,,,,,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,,,,,,,,,,,,,,,
Sitka - Sitka Airport,PASI,Weather Station,,,National Weather Service/Federal Aviation Administration,57.048,-135.3647,,13,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0 Relative Humidity, 10.m Wind Speed mph, 10.0m Wind Gust mph, 10.0 Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PASI&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Angoon,PAGN,Weather Station,,,National Weather Service/Federal Aviation Administration,57.5,-134.58333,,80,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0 Relative Humidity, 10.m Wind Speed mph, 10.0m Wind Gust mph, 10.0 Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visibility miles, ceiling feet, precipitation 1hr in",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAGN&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Juneau International Airport,PAJN,Weather Station,,,National Weather Service/Federal Aviation Administration,58.35472,-134.57611,,20,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0m Relative Humidity %, 10.0m Wind Speed mph, 10.0 Wind Gust mph, 10.0m Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visability miles, ceiling feet, precipitation 1hr in, Peak Wind Speed mph, Peak Wind Direction",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAJN&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Petersburg,PAPG,Weather Station,,,National Weather Service/Federal Aviation Administration,56.8017,-132.9453,,71,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0m Relative Humidity %, 10.0m Wind Speed mph, 10.0 Wind Gust mph, 10.0m Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visibility miles, ceiling feet, precipitation 1hr in",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAPG&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Kake - Kake Airport,PAFE,Weather Station,,,National Weather Service/Federal Aviation Administration,56.964,-133.913,,150,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0 Relative Humidity, 10.m Wind Speed mph, 10.0m Wind Gust mph, 10.0 Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visibility miles, ceiling feet, precipitation 1hr in",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAFE&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Hydaburg - Hydaburg Seaplane B,PAHY,Weather Station,,,National Weather Service/Federal Aviation Administration,55.2,-132.83333,,16,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0 Relative Humidity, 10.m Wind Speed mph, 10.0m Wind Gust mph, 10.0 Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visibility miles, ceiling feet, Peak Wind Direction, 6hr High Temp F, 6hr Low Temp F",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAHY&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Klawock - Klawock Airport,PAKW,Weather Station,,,National Weather Service/Federal Aviation Administration,55.5839,-133.067,,32,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0 Relative Humidity, 10.m Wind Speed mph, 10.0m Wind Gust mph, 10.0 Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visibility miles, ceiling feet, Precipitation 1hr in, Precipitation 6hr in, 6Hr High Temp F, 6Hr Low Temp F",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAKW&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Wrangell,PAWG,Weather Station,,,National Weather Service/Federal Aviation Administration,56.48333,-132.36667,,43,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0 Relative Humidity, 10.m Wind Speed mph, 10.0m Wind Gust mph, 10.0 Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visibility miles, ceiling feet, Precipitation 1hr in, Precipitation 6hr in, 6Hr High Temp F, 6Hr Low Temp F",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAWG&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Ketchikan International Airport,PAKT,Weather Station,,,National Weather Service/Federal Aviation Administration,55.35556,-131.71361,,89,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0 Relative Humidity, 10.m Wind Speed mph, 10.0m Wind Gust mph, 10.0 Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visibility miles, ceiling feet, Precipitation 1hr in, Precipitation 6hr in, 6Hr High Temp F, 6Hr Low Temp F",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAKT&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Metlakatla Seaplane Base,PAMM,Weather Station,,,National Weather Service/Federal Aviation Administration,55.13111,-131.57806,,1,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0m Wet bulb temp F, 2.0 Relative Humidity, 10.m Wind Speed mph, 10.0m Wind Gust mph, 10.0 Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visibility miles, ceiling feet, Precipitation 1hr in, Precipitation 6hr in, 6Hr High Temp F, 6Hr Low Temp F",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAMM&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
MONTANA CREEK NEAR AUKE BAY 2NE,MCAA2,,,,National Weather Service/Hydrometeorological Automated Data System,58.39806,-134.60944,,,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), Precipitation accumulated in, precipitation 1hr in, Battery voltage volt",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=MCAA2&unit=0&time=LOCAL,,,,,,,,,,,,,
CRAIG,CRGA2,,,,National Weather Service/Hydrometeorological Automated Data System,55.47389,-133.13778,,95,,Active,,,,,,,,,,,,,,,,,,,,,,,"Temperature, Dew Point, Relative Humidity, Wind Speed, Wind Direction, Pressure, Altimeter, Precipitation accumulated in, Precipitation 1hr in",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=CRGA2&unit=0&time=LOCAL,,,,,,,,,,,,,
USCRN SITE ON ANNETTE ISLAND NEAR METLAKATLA 6S,,,,,Hydrometeorological Automated Data System,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,"1.5 Temperature, 1.5m Relative Humidity, 3.0m Wind Gust mph, Precipitation accumulated in, Precipitation 1hr in, Precipitation 5min in",,,,,,,,,,,,,,
Harbor,uo_station_3,Onset https://www.hobolink.com/ ,,,Sitka Sound Science Center,,,642,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,"1 tipping bucket rain gauge
Atmospheric pressure, temperature, and humidity
2 soil moisture sensors
1 piezometer (pressure sensor) at the bottom of a ~1 m well
",,,,,,,,,,,,,,
Gavan,uo_station_2,Onset https://www.hobolink.com/ ,,,Sitka Sound Science Center,,,222,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,"1 tipping bucket rain gauge
Atmospheric pressure, temperature, and humidity
2 soil moisture sensors
1 piezometer (pressure sensor) at the bottom of a ~1 m well
",,,,,,,,,,,,,,
Verstovia,uo_station_1,Onset https://www.hobolink.com/ ,,,Sitka Sound Science Center,,,223,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,"1 tipping bucket rain gauge
Atmospheric pressure, temperature, and humidity
2 soil moisture sensors
1 piezometer (pressure sensor) at the bottom of a ~1 m well
",,,,,,,,,,,,,,
Hoonah Mtn,Hoonah 1,Onset https://www.hobolink.com/ ,,,Sitka Sound Science Center,,,,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,"1 tipping bucket rain gauge
Atmospheric pressure, temperature, and humidity
2 soil moisture sensors
1 piezometer (pressure sensor) at the bottom of a ~1 m well
",,,,,,Last connection 6 months ago,,Model: HOBO RX3000 Station - CELL-4G  Serial Number (SN): 21789476,,,Cell Signals used,10 minutes,Operates seasonally due to snow in winter,
Midslope Harbor Mt - Sitka Mesonet,PMPA2,Tipping Bucket Network  Rain Gauges https://stilltek.com/sssc/ https://mesowest.utah.edu/cgi-bin/droman/precip_monitor.cgi?state=AJK&type=0&rawsflag=290&orderby=n ,,,Sitka Sound Science Center,57.096533,-135.3695,,1593,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), Temp F, Precipitation accumulated in, Battery voltage volt",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PMPA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Midslope Verstovia,,Tipping Bucket Network,,,Sitka Sound Science Center,57.05447222,-135.2961,,758,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Lance Dr - Sitka Mesonet,PMBA2,Tipping Bucket Network,,,Sitka Sound Science Center,57.05146111,-135.30138,,156,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), Temp F, Precipitation accumulated in, Battery voltage volt",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PMBA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Upper Cascade Creek Rd - Sitka,PMAA2,Tipping Bucket Network,,,Sitka Sound Science Center,57.074449,-135.3616667,,195,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), Temp F, Precipitation accumulated in, Battery voltage volt",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PMAA2&unit=0&time=LOCAL,,,,,,,,,,,,,
SHOTGUN ALLEY - SITKA MESONET,PMEA2,Tipping Bucket Network,,,Sitka Sound Science Center,57.04018,-135.27871,,120,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), Temp F, Precipitation accumulated in, Battery voltage volt",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PMEA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Somer Dr.,,Tipping Bucket Network,,,Sitka Sound Science Center,57.0908522,-135.3882528,,38,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sitka High School,,Tipping Bucket Network,,,Sitka Sound Science Center,57.06233056,-135.3414306,,75,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Cove,,Tipping Bucket Network,,,Sitka Sound Science Center,57.01472222,-135.1497222,,38,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPR 4500 Block - Sitka Mesonet,PMJA2,Tipping Bucket Network,,,Sitka Sound Science Center,57.114126,-135.3933605,,25,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), Temperature F, Precipitation Accumulated in, Battery voltage volt, Quality Control",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PMJA2&unit=0&time=LOCAL,,,,,,,,,,,,,
SEA MOUNTAIN GOLF COURSE - SIT,PMMA2,Tipping Bucket Network,,,Sitka Sound Science Center,57.10503,-135.39021,,170,,Active,,,,,,,,,,,,,,,,,,,,,,,,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PMMA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Prince of Wales: High Site,,Rain Guage,,,Sitka Sound Science Center,,,,2800,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,johnson.adelaide@gmail.com,,,,,,,,,,,
Prince of Wales: Medium Site,,Rain Guage,,,Sitka Sound Science Center,,,,1000,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,johnson.adelaide@gmail.com,,,,,,,,,,,
Prince of Wales: Low Site,,Rain Guage,,,Sitka Sound Science Center,,,,130,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,johnson.adelaide@gmail.com,,,,,,,,,,,
Piezometer 1,,Piezometer,,,Sitka Sound Science Center,,,,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,johnson.adelaide@gmail.com,,,,,,,,,,,
Piezometer 2,,Piezometer,,,Sitka Sound Science Center,,,,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,johnson.adelaide@gmail.com,,,,,,,,,,,
Piezometer 3,,Piezometer,,,Sitka Sound Science Center,,,,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,johnson.adelaide@gmail.com,,,,,,,,,,,
Dry Bay,DBWA2,Weather Station,,,The Bureau of Land Management,59.16795,-138.48409,,29,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 3.1m Temp F, 3.1 Dew Point F, 3.1 Wet bulb temp F, 3.1 Relative Humidity %, 3.7 Wind Speed mph, 3.7m Wind Gust mph, 3.7 Wind Direction, Solar Radiation W/m*m, Precipitation accumulated in, -0.01m Soil Temp F, Soil Temp 2 F, Soil Temp 3 F, Battery voltage volt",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=DBWA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Dyea,DWSA2,Weather Station,,,The Bureau of Land Management,59.51189,-135.34685,,50,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0 Wet bulb temp F, 2.0 Relative Humidity %, 6.1 Wind Speed mph, 6.1m Wind Gust mph, 6.1 Wind Direction, Solar Radiation W/m*m, Precipitation accumulated in, Snow depth in, Battery voltage volt",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=DWSA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Sheep Camp,SPCA2,Weather Station,,,The Bureau of Land Management,59.51189,-135.34685,,920,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temperature °F, 2.0m Dew Point ° F, 2.0m Wet bulb temperature ° F, 2.0m Relative Humidity %, 6.1m Wind Speed mph, 6.1m Wind Gust mph, 6.1m Wind Direction, Solar Radiation W/m*m, Precipitation accumulated in, Snow depth in, Soil Temperature ° F, Soil Temperature 2 ° F, Soil Temperature 3 ° F, Battery voltage volt, Quality Control",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=SPCA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Nunatak Upper,GNUA2,Weather Station,,,The Bureau of Land Management,58.98376,-136.10039,,941,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0 Wet bulb temp F, 2.0 Relative Humidity %, 3.3 Wind Speed mph, 3.3m Wind Gust mph, 3.3 Wind Direction, Solar Radiation W/m*m, Precipitation accumulated in, Snow depth in, Battery voltage volt, Quality Control",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=GNUA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Queen Inlet,GQIA2,Weather Station,,,The Bureau of Land Management/Denali National Park,58.91726,-136.58466,,1045,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temp F, 2.0 Dew Point F, 2.0 Wet bulb temp F, 2.0 Relative Humidity %, 3.3 Wind Speed mph, 3.3m Wind Gust mph, 3.3 Wind Direction, Solar Radiation W/m*m, Precipitation accumulated in, Snow depth in, Battery voltage volt, Quality Control",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=GQIA2&unit=0&time=LOCAL,,,,,,,,,,,,,
HOONAH,HONA2,Weather Station,,,The Bureau of Land Management/USDA Forest Service,57.8,-135.13333,,450,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temperature °F, 2.0m Dew Point ° F, 2.0m Wet bulb temperature ° F, 2.0m Relative Humidity %, 6.1m Wind Speed mph, 6.1m Wind Gust mph, 6.1m Wind Direction, Solar Radiation W/m*m, Precipitation accumulated in, Battery voltage volt, Quality Control",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=HONA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Lituya Bay,LBWA2,Weather Station,,,The Bureau of Land Management,58.62656,-137.65794,,12,,Active,,,,,,,,,,,,,,,,,,,,,,,,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=LBWA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Berners Bay,BEBA2,Weather Station,,,The Bureau of Land Management,58.775,-135.03292,,180,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), Temp F, Dew Point F, Wet bulb temp F, Relative Humidity %, Wind Speed mph, Wind Gust mph, Wind Direction, Solar Radiation W/m*m, Precipitation accumulated in Battery voltage volt",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=BEBA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Kake,KKEA2,Weather Station,,,The Bureau of Land Management,56.97389,-133.66,,400,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temperature °F, 2.0m Dew Point ° F, 2.0m Wet bulb temperature ° F, 2.0m Relative Humidity %, 6.1m Wind Speed mph, 6.1m Wind Gust mph, 6.1m Wind Direction, Solar Radiation W/m*m, Precipitation accumulated in, Battery voltage volt, Quality Control",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=KKEA2&unit=0&time=LOCAL,,,,,,,,,,,,,
Haida,HADA2,Weather Station,,,The Bureau of Land Management,55.33,-132.6675,,671,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temperature °F, 2.0m Dew Point ° F, 2.0m Wet bulb temperature ° F, 2.0m Relative Humidity %, 6.1m Wind Speed mph, 6.1m Wind Gust mph, 6.1m Wind Direction, Solar Radiation W/m*m, Precipitation accumulated in, Battery voltage volt, Quality Control",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=HADA2&unit=0&time=LOCAL,,,,,,,,,,,,,
